idx,senetnce,Option A,Option B,gold_ans,gold_scope_label,OP1,OP1_type,OP2,OP2_type
0,এজন ৰান্ধনীয়ে ভোজৰ বাবে সাতটা ধৰণৰ আহাৰ সাজে।,সাতটা আহাৰ বিভিন্ন ৰান্ধনীয়ে সাজিছে।,একেজন ৰান্ধনীয়ে সাতটা আহাৰ সাজিছে।,B,inverse,এজন ,indefinite,সাতটা,number
0,এজন ৰান্ধনীয়ে ভোজৰ বাবে সাতটা ধৰণৰ আহাৰ সাজে।,একেজন ৰান্ধনীয়ে সাতটা আহাৰ সাজিছে।,সাতটা আহাৰ বিভিন্ন ৰান্ধনীয়ে সাজিছে।,A,inverse,এজন ,indefinite,সাতটা,number
1,এজন মালীয়ে বাগিছাত চাৰি ধৰণৰ গোলাপ গছ ৰোপণ কৰে।,চাৰি ধৰণৰ  মালীয়েই একে গছ ৰোপণ কৰিছে।,চাৰি ধৰণৰ গোলাপ গছ একে মালীয়েই ৰোপণ কৰিছে।,B,surface,এজন ,indefinite,চাৰি,number
1,এজন মালীয়ে বাগিছাত চাৰি ধৰণৰ গোলাপ গছ ৰোপণ কৰে।,চাৰি ধৰণৰ গোলাপ গছ একে মালীয়েই ৰোপণ কৰিছে।,চাৰি ধৰণৰ  মালীয়েই একে গছ ৰোপণ কৰিছে।,A,surface,এজন ,indefinite,চাৰি,number
2,এজন শিক্ষক বিদ্যালয়ত পাঁচটা ভিন্ন বিষয় পঢ়ায়।,বিভিন্ন বিষয় একেজন শিক্ষকে শিকিয়ে।,প্ৰত্যেক বিষয় ভিন্ন শিক্ষক পঢ়ায়।,A,inverse,এজন ,indefinite,পাঁচটা,number
2,এজন শিক্ষক বিদ্যালয়ত পাঁচটা ভিন্ন বিষয় পঢ়ায়।,প্ৰত্যেক বিষয় ভিন্ন শিক্ষক পঢ়ায়।,বিভিন্ন বিষয় একেজন শিক্ষকে শিকিয়ে।,B,inverse,এজন ,indefinite,পাঁচটা,number
3,এখন কোম্পানীয়ে ঠিক দুই ধৰণৰ স্মাৰ্টফোন উৎপাদন কৰে।,দুয়োটাই স্মাৰ্টফোন একেই কোম্পানীয়ে উৎপাদন কৰে।,দুয়ো প্ৰকাৰৰ স্মাৰ্টফোন দুয়োটা কোম্পানী উৎপাদন কৰে,A,inverse,এজন ,indefinite,ঠিক  দুই,number
3,এখন কোম্পানীয়ে ঠিক দুই ধৰণৰ স্মাৰ্টফোন উৎপাদন কৰে।,দুয়ো প্ৰকাৰৰ স্মাৰ্টফোন দুয়োটা কোম্পানী উৎপাদন কৰে,দুয়োটাই স্মাৰ্টফোন একেই কোম্পানীয়ে উৎপাদন কৰে।,B,inverse,এজন ,indefinite,ঠিক  দুই,number
4,এজন সংগীতজ্ঞ তিনিটা ভিন্ন বাদ্যযন্ত্ৰ বাজায়।,সকলো সংগীতজ্ঞই তিনিটা বাদ্যযন্ত্ৰ বজায়।,তিনিটা বাদ্যযন্ত্ৰ একেই সংগীতজ্ঞে বাজায়।,B,inverse,এজন ,indefinite,তিনিটা,number
4,এজন সংগীতজ্ঞ তিনিটা ভিন্ন বাদ্যযন্ত্ৰ বাজায়।,তিনিটা বাদ্যযন্ত্ৰ একেই সংগীতজ্ঞে বাজায়।,সকলো সংগীতজ্ঞই তিনিটা বাদ্যযন্ত্ৰ বজায়।,A,inverse,এজন ,indefinite,তিনিটা,number
